Gravita Trattamento 1sett  2sett  4sett  n
L  S  N  N  N  16
L  S  N  N  A  13
L  S  N  A  N   9
L  S  N  A  A   3 
L  S  A  N  N  14
L  S  A  N  A   4
L  S  A  A  N  15
L  S  A  A  A   6
L  N  N  N  N  31
L  N  N  N  A   0
L  N  N  A  N   6
L  N  N  A  A   0
L  N  A  N  N  22
L  N  A  N  A   2
L  N  A  A  N   9
L  N  A  A  A   0
G  S  N  N  N   2
G  S  N  N  A   2
G  S  N  A  N   8
G  S  N  A  A   9
G  S  A  N  N   9
G  S  A  N  A  15
G  S  A  A  N  27
G  S  A  A  A  28
G  N  N  N  N   7
G  N  N  N  A   2
G  N  N  A  N   5
G  N  N  A  A   2
G  N  A  N  N  31
G  N  A  N  A   5
G  N  A  A  N  32
G  N  A  A  A   6

